g1,g2,ccted,iteration,gted,edit_distance,gted_time,ccted_time
simulated187,simulated330,35.0,11,35.0,63,198.151141166687,13.357111930847168
simulated187,simulated262,30.0,2,30.0,53,13.243372917175293,7.053683519363403
simulated25,simulated25,0.0,1,0.0,0,0.9454488754272461,0.8746082782745361
simulated25,simulated256,35.0,6,35.0,74,40.09265375137329,7.273909330368042
simulated25,simulated460,33.0,5,33.0,71,34.26523303985596,5.155287265777588
simulated25,simulated296,35.0,10,35.0,74,74.94797372817993,8.272990465164185
simulated25,simulated330,35.0,6,35.0,72,33.725414514541626,6.025293350219727
simulated25,simulated262,34.0,17,34.0,72,104.31724882125854,5.515766620635986
simulated256,simulated256,0.0,1,0.0,0,0.9409666061401367,0.8639070987701416
simulated256,simulated460,31.0,5,31.0,55,71.59843349456787,17.44126582145691
simulated256,simulated296,21.0,4,21.0,26,12.645602941513062,3.220959186553955
simulated256,simulated330,33.0,3,34.0,57,32.649208068847656,7.168923616409302
simulated256,simulated262,31.999999824227025,4,32.0,53,18.64693593978882,4.066921234130859
simulated460,simulated460,0.0,1,0.0,0,0.9306273460388184,0.8549704551696777
simulated460,simulated296,31.0,7,31.0,59,126.31697010993958,16.984389305114746
simulated460,simulated330,33.0,45,34.0,70,4162.032838582993,14.130393266677856
simulated460,simulated262,30.0,8,30.0,58,51.259339570999146,4.606781959533691
simulated296,simulated296,0.0,1,0.0,0,1.0601558685302734,0.9807939529418945
simulated296,simulated330,32.0,9,32.0,58,119.24702334403992,10.494621276855469
simulated296,simulated262,31.0,6,31.0,50,73.77301120758057,10.041987419128418
simulated330,simulated330,0.0,1,0.0,0,1.0670385360717773,0.9832613468170166
simulated330,simulated262,27.0,5,27.0,44,31.034703731536865,7.011024475097656
simulated262,simulated262,0.0,2,0.0,0,1.3898234367370605,0.8130533695220947
