g1,g2,ag_time,ccted,gted,edit_distance,gted_time,ccted_time
simulated191,simulated191,0.1158449649810791,0.0,0.0,0,7.528960227966309,0.7053577899932861
simulated191,simulated187,0.08398199081420898,28.36674245133606,28.36674245133598,50,8.98942518234253,1.3299691677093506
simulated191,simulated305,0.08754658699035645,27.666666666666657,27.666666666666657,45,7.8415687084198,0.9504764080047607
simulated191,simulated141,0.0880587100982666,27.210185185185185,27.210185185185185,56,8.046348810195923,0.9972567558288574
simulated191,simulated460,0.15394997596740723,26.88043478260869,26.880434782608695,60,7.653154611587524,1.136707067489624
simulated191,simulated287,0.0799095630645752,27.682025028441394,27.682025028441394,45,7.5625104904174805,1.0053331851959229
simulated191,simulated296,0.08528661727905273,27.27419354838711,27.274193548387096,45,7.841306209564209,1.0085105895996094
simulated191,simulated393,0.08582258224487305,28.424046076313896,28.4240460763139,60,7.590027570724487,1.0049731731414795
simulated191,simulated279,0.13460874557495117,27.876478318002604,27.876478318002576,46,8.210181951522827,1.0000126361846924
simulated191,simulated330,0.0857553482055664,29.62201065397257,29.622010653972573,60,8.276408910751343,0.9862346649169922
simulated191,simulated167,0.08948802947998047,30.14548238897396,30.14548238897379,65,7.847087621688843,0.945868968963623
simulated191,simulated490,0.08613801002502441,28.951779026217228,28.95177902621724,55,7.814544916152954,0.9868547916412354
simulated191,simulated25,0.0800931453704834,35.520770010131706,35.52077001013171,79,7.480806112289429,1.1654894351959229
simulated191,simulated333,0.08651351928710938,29.512560097314143,29.512560097314196,62,7.720576524734497,1.0316827297210693
simulated191,simulated262,0.07693314552307129,28.759780370624558,28.759780370624565,55,7.730627536773682,1.1098508834838867
simulated191,simulated303,0.08487892150878906,27.231053212254963,27.23105321225495,45,7.769895315170288,0.9725000858306885
simulated191,simulated207,0.08937263488769531,27.734484175914506,27.73448417591451,59,7.99420166015625,1.02531099319458
simulated191,simulated256,0.0878899097442627,31.36729967577582,31.36729967577582,51,7.771771192550659,1.195816993713379
simulated191,simulated280,0.08309268951416016,31.982456140350898,31.982456140350877,64,7.1754841804504395,0.9383299350738525
simulated187,simulated187,0.16542911529541016,0.0,0.0,0,7.927059888839722,0.8248546123504639
simulated187,simulated305,0.09697985649108887,28.510554352150614,28.510554352150628,45,8.760874509811401,1.0927937030792236
simulated187,simulated141,0.08926606178283691,28.6878787878788,28.68787878787879,57,8.1476891040802,1.0457091331481934
simulated187,simulated460,0.14079666137695312,31.180555555555557,31.180555555555564,56,8.134835958480835,1.041485071182251
simulated187,simulated287,0.08992791175842285,27.612891635527436,27.61289163552744,44,8.336968660354614,1.0778224468231201
simulated187,simulated296,0.0889742374420166,28.590268886043503,28.590268886043543,45,8.86763882637024,1.1036975383758545
simulated187,simulated393,0.08496665954589844,30.132075471698126,30.132075471698116,56,8.451568126678467,0.9706499576568604
simulated187,simulated279,0.0916452407836914,27.512239902080744,27.512239902080776,45,8.034809589385986,1.0164546966552734
simulated187,simulated330,0.12692999839782715,33.28809159005788,33.28809159005785,63,9.090912103652954,1.0453932285308838
simulated187,simulated167,0.1919715404510498,33.150005985873314,33.150005985873335,62,8.462355852127075,1.1215600967407227
simulated187,simulated490,0.09315705299377441,29.141843971631193,29.1418439716312,59,8.77388882637024,1.1508398056030273
simulated187,simulated25,0.09064102172851562,36.800000000000004,36.80000000000001,70,8.209980726242065,1.0240464210510254
simulated187,simulated333,0.09647870063781738,30.591285050113903,30.591285050114166,63,8.536335468292236,1.3780241012573242
simulated187,simulated262,0.08809447288513184,28.371794871794844,28.371794871794876,53,8.202543258666992,0.9907424449920654
simulated187,simulated303,0.16857385635375977,29.62693498452013,29.62693498452013,52,9.17613959312439,1.1269621849060059
simulated187,simulated207,0.08883333206176758,30.222222222222236,30.22222222222222,56,8.953839302062988,1.1066701412200928
simulated187,simulated256,0.09687614440917969,27.969665632540483,27.96966563254048,44,8.485737562179565,1.1099870204925537
simulated187,simulated280,0.15440869331359863,29.84444444444432,29.844444444444438,65,8.22721815109253,1.153418779373169
simulated305,simulated305,0.0995645523071289,0.0,0.0,0,6.870107889175415,0.7842142581939697
simulated305,simulated141,0.08921575546264648,28.49757449757449,28.497574497574508,53,7.968342304229736,1.0284759998321533
simulated305,simulated460,0.08935022354125977,28.259344800340358,28.259344800340376,58,8.181840419769287,1.1159999370574951
simulated305,simulated287,0.08988738059997559,2.0,2.0,2,8.063143253326416,0.9827260971069336
simulated305,simulated296,0.1391148567199707,4.0,4.0,4,7.814465761184692,0.8330183029174805
simulated305,simulated393,0.09310102462768555,28.83510638297871,28.83510638297876,59,8.454749584197998,1.2265770435333252
simulated305,simulated279,0.09237885475158691,3.0,3.0,3,8.22427225112915,1.0662848949432373
simulated305,simulated330,0.16323399543762207,31.40842081751171,31.408420817511715,58,8.488845586776733,1.1808326244354248
simulated305,simulated167,0.09282064437866211,32.49112426035506,32.49112426035502,66,7.616885423660278,1.0594773292541504
simulated305,simulated490,0.09068799018859863,27.62441314553992,27.62441314553991,51,7.9780964851379395,1.1360881328582764
simulated305,simulated25,0.13953208923339844,32.191752577319576,32.19175257731957,74,7.654550075531006,0.9728844165802002
simulated305,simulated333,0.08479833602905273,32.09216589861751,32.09216589861751,62,7.917444467544556,1.0186042785644531
simulated305,simulated262,0.08779644966125488,29.143536937358615,29.143536937358597,49,7.28111720085144,0.9253156185150146
simulated305,simulated303,0.09268617630004883,26.191873589164775,26.19187358916477,49,8.15464973449707,1.1249804496765137
simulated305,simulated207,0.09032273292541504,28.759868421052634,28.759868421052637,58,8.499026536941528,1.171912670135498
simulated305,simulated256,0.08904623985290527,20.5,20.500000000000004,24,7.746829986572266,1.1099293231964111
simulated305,simulated280,0.08745050430297852,29.65655239666941,29.656552396669415,64,7.281965255737305,0.991950511932373
simulated141,simulated141,0.08298611640930176,0.0,0.0,0,4.500304222106934,0.6144685745239258
simulated141,simulated460,0.08797502517700195,30.792332268370597,30.79233226837062,67,7.88473105430603,1.0271589756011963
simulated141,simulated287,0.09189987182617188,27.594400000000004,27.59439999999999,52,7.847454309463501,1.0152151584625244
simulated141,simulated296,0.08690524101257324,28.237958715596335,28.237958715596335,53,7.947872638702393,1.0413880348205566
simulated141,simulated393,0.11597943305969238,30.629735935706073,30.6297359357061,67,8.12872838973999,1.0920820236206055
simulated141,simulated279,0.08929777145385742,27.077147016011644,27.077147016011658,51,8.17343807220459,0.9911553859710693
simulated141,simulated330,0.09386134147644043,27.23569794050343,27.23569794050344,48,8.520896434783936,1.2190368175506592
simulated141,simulated167,0.09214043617248535,28.61287820015518,28.612878200155148,63,7.8888185024261475,1.012578010559082
simulated141,simulated490,0.08924245834350586,28.58333333333333,28.583333333333332,58,8.453783512115479,1.0182266235351562
simulated141,simulated25,0.08755087852478027,32.263513513513516,32.26351351351351,76,7.219930410385132,0.9684877395629883
simulated141,simulated333,0.09079098701477051,27.45736434108526,27.45736434108526,46,8.051326990127563,1.0207626819610596
simulated141,simulated262,0.08750462532043457,20.600000000000005,20.599999999999998,26,7.6439528465271,1.0965802669525146
simulated141,simulated303,0.09239315986633301,28.984916559691932,28.984916559691925,63,8.522728204727173,1.023528814315796
simulated141,simulated207,0.09227538108825684,31.094147582697218,31.094147582697207,67,8.82410717010498,1.1163935661315918
simulated141,simulated256,0.15053558349609375,30.742492012779547,30.742492012779547,55,7.949826240539551,1.1872894763946533
simulated141,simulated280,0.09172368049621582,26.888800212822556,26.88880021282256,51,7.880312442779541,1.0680291652679443
simulated460,simulated460,0.08978605270385742,0.0,0.0,0,7.409490346908569,0.6976993083953857
simulated460,simulated287,0.09171891212463379,27.352722772277218,27.35272277227724,57,7.65438175201416,1.0542666912078857
simulated460,simulated296,0.10979795455932617,28.858999072943195,28.858999072943185,59,8.17818021774292,1.1745951175689697
simulated460,simulated393,0.09169173240661621,3.0,3.0,3,7.849495887756348,0.9836950302124023
simulated460,simulated279,0.09196186065673828,27.177040222889453,27.177040222889442,58,8.637036085128784,1.0834729671478271
simulated460,simulated330,0.16147446632385254,30.586191684129243,30.586191684129226,70,8.61881685256958,1.1679184436798096
simulated460,simulated167,0.08562731742858887,31.221054387721065,31.22105438772105,63,7.8126630783081055,1.060189962387085
simulated460,simulated490,0.15874743461608887,26.954687634516592,26.954687634516613,42,7.911596298217773,1.1754391193389893
simulated460,simulated25,0.0869600772857666,32.29861860565508,32.29861860565507,71,7.277220249176025,0.9862060546875
simulated460,simulated333,0.13869190216064453,29.13468013468013,29.13468013468015,67,7.718796491622925,1.0527093410491943
simulated460,simulated262,0.08817648887634277,28.884119988018334,28.884119988018305,58,7.354089260101318,1.0174496173858643
simulated460,simulated303,0.08890414237976074,29.16460674157304,29.16460674157307,59,8.074456930160522,1.088697910308838
simulated460,simulated207,0.08918094635009766,2.0,2.0,2,7.576170444488525,0.7784423828125
simulated460,simulated256,0.09023404121398926,29.24148494941244,29.241484949412403,55,7.6538050174713135,1.0203921794891357
simulated460,simulated280,0.08848071098327637,29.952819332566172,29.952819332566172,69,7.844839811325073,1.0132513046264648
simulated287,simulated287,0.14873743057250977,0.0,0.0,0,6.921748161315918,0.724611759185791
simulated287,simulated296,0.09311676025390625,2.0,2.0,2,7.278094530105591,0.8057365417480469
simulated287,simulated393,0.09033870697021484,28.776011560693647,28.776011560693625,58,8.48241138458252,1.001662254333496
simulated287,simulated279,0.0877377986907959,1.0,1.0,1,7.652255058288574,0.8155186176300049
simulated287,simulated330,0.09713387489318848,30.346924478072015,30.346924478071994,59,8.67516827583313,1.1050341129302979
simulated287,simulated167,0.09251880645751953,32.38461538461537,32.384615384615365,65,8.180772304534912,1.0150871276855469
simulated287,simulated490,0.0948646068572998,26.04819277108433,26.048192771084327,51,8.126755952835083,1.039468765258789
simulated287,simulated25,0.14607715606689453,32.0566367811065,32.056636781106484,73,7.90142035484314,1.024303913116455
simulated287,simulated333,0.09391236305236816,31.02456938373098,31.024569383730984,61,8.233574390411377,1.1971697807312012
simulated287,simulated262,0.08382153511047363,28.399784482758626,28.399784482758623,49,7.679669380187988,0.9841108322143555
simulated287,simulated303,0.09395861625671387,25.916943521594693,25.916943521594686,48,8.70120120048523,1.07421875
simulated287,simulated207,0.16576862335205078,28.096026490065967,28.09602649006622,57,8.321048498153687,1.1032347679138184
simulated287,simulated256,0.09188437461853027,18.999999999999996,19.0,24,7.86924934387207,1.125610113143921
simulated287,simulated280,0.1560373306274414,29.135365853658538,29.13536585365849,64,8.204574584960938,0.9618463516235352
simulated296,simulated296,0.09626007080078125,0.0,0.0,0,7.2770140171051025,0.7735064029693604
simulated296,simulated393,0.08541560173034668,29.77346545554639,29.773465455546408,60,7.960733652114868,1.0154175758361816
simulated296,simulated279,0.09265780448913574,3.0,3.0,3,7.595318555831909,0.8120601177215576
simulated296,simulated330,0.09724903106689453,30.275541595155598,30.27554159515558,58,9.285841703414917,1.1066462993621826
simulated296,simulated167,0.09395956993103027,33.06857142857147,33.06857142857141,66,8.685563564300537,1.1328985691070557
simulated296,simulated490,0.09803318977355957,27.354916067146295,27.35491606714629,53,8.737314462661743,1.098524570465088
simulated296,simulated25,0.0916740894317627,33.67331118493908,33.67331118493908,74,7.50735878944397,1.090240478515625
simulated296,simulated333,0.08761930465698242,31.89595687331537,31.89595687331537,60,7.664844274520874,0.982689619064331
simulated296,simulated262,0.08774828910827637,29.18881212991207,29.18881212991208,50,8.665929317474365,1.0525438785552979
simulated296,simulated303,0.09869098663330078,27.437434719030698,27.43743471903069,49,8.790016889572144,1.097832202911377
simulated296,simulated207,0.09596419334411621,29.32466875375519,29.32466875375518,59,8.575801372528076,1.1095483303070068
simulated296,simulated256,0.09556388854980469,20.791666666666668,20.791666666666668,26,8.377223014831543,1.0917930603027344
