gted_compact,time_gted_compact,ccted,time_ccted,iteration,gted,time_gted_it
2.0,0.3148813247680664,1.0,0.08383417129516602,2,2.0,0.06943845748901367
2.0,0.4931676387786865,1.0,0.06211066246032715,3,2.0,0.13191628456115723
2.0,0.37286972999572754,1.0,0.05251049995422363,2,2.0,0.08180856704711914
2.0,0.5412032604217529,1.0,0.07782626152038574,2,2.0,0.11959600448608398
2.0,0.2848787307739258,1.0,0.03751969337463379,2,2.0,0.06813311576843262
2.0,0.42513322830200195,1.0,0.09777307510375977,4,2.0,0.16393065452575684
2.0,0.30489373207092285,1.0,0.03394436836242676,4,2.0,0.09235405921936035
2.0,0.3775820732116699,1.0,0.03995251655578613,4,2.0,0.18059802055358887
2.0,0.3424341678619385,1.0,0.04126691818237305,2,2.0,0.061676025390625
2.0,0.3162844181060791,1.0,0.042474985122680664,2,2.0,0.06538820266723633
2.0,0.33355283737182617,1.0,0.039650917053222656,5,2.0,0.12587404251098633
2.0,0.3272116184234619,1.0,0.08531808853149414,3,2.0,0.09964561462402344
2.0,0.31665706634521484,1.0,0.04938316345214844,2,2.0,0.12023115158081055
2.0,0.36834263801574707,1.0,0.040006160736083984,2,2.0,0.08009648323059082
2.0,0.44366931915283203,1.0,0.04725027084350586,5,2.0,0.16681766510009766
2.0,0.35384631156921387,1.0,0.04104876518249512,8,2.0,0.3641185760498047
3.0,0.6872425079345703,2.0,0.07828330993652344,11,3.0,1.0850868225097656
2.0,0.37267398834228516,1.0,0.11063575744628906,4,2.0,0.1480393409729004
2.0,0.2985341548919678,1.0,0.04072690010070801,2,2.0,0.07143497467041016
2.0,0.42497873306274414,1.0,0.049576759338378906,2,2.0,0.14559102058410645
2.0,0.2971179485321045,0.0,0.03692173957824707,4,2.0,0.18205928802490234
2.0,0.3276233673095703,0.0,0.04367423057556152,10,2.0,0.5944774150848389
2.0,0.3359370231628418,0.0,0.0452117919921875,12,2.0,0.6001436710357666
2.0,0.3329923152923584,0.0,0.04255509376525879,2,2.0,0.09058856964111328
3.0,0.35725903511047363,1.0,0.04307150840759277,11,3.0,0.5051262378692627
2.0,0.7217144966125488,0.0,0.06749725341796875,8,2.0,0.7201752662658691
2.0,0.3403499126434326,0.0,0.03892779350280762,2,2.0,0.08477234840393066
2.0,0.40291929244995117,0.0,0.04712867736816406,14,2.0,0.7094464302062988
2.0,0.5275700092315674,0.0,0.044011592864990234,11,2.0,0.5728368759155273
2.0,0.5676665306091309,0.0,0.06420516967773438,14,2.0,0.86124587059021
2.0,0.6475260257720947,0.0,0.04411911964416504,2,2.0,0.0750124454498291
2.0,0.30821990966796875,0.0,0.08538460731506348,7,2.0,0.42389726638793945
