gted_compact,time_gted_compact,ccted,time_ccted,iteration,gted,time_gted_it
4.0,1.604576826095581,0.0,0.13539958000183105,97,4.0,18.952978134155273
4.0,1.2245655059814453,0.0,0.0641331672668457,59,4.0,7.59757399559021
4.0,0.7089829444885254,0.0,0.03894400596618652,36,4.0,4.044259548187256
4.0,1.4271841049194336,0.0,0.042169809341430664,66,4.0,9.527964353561401
4.0,7.019999265670776,0.0,0.08470630645751953,110,4.0,24.16982913017273
4.0,1.2037734985351562,0.0,0.06514334678649902,-457,4.0,1201.8726217746735
4.0,1.5542478561401367,0.0,0.0977325439453125,66,4.0,13.0568368434906
5.0,3.1581406593322754,1.0,0.05134224891662598,233,5.0,180.63515090942383
6.0,11.285471200942993,1.0,0.10413074493408203,360,6.0,401.5988609790802
6.0,4.775984764099121,1.0,0.12725567817687988,-652,5.0,1200.4178719520569
6.0,5.853152751922607,1.0,0.0671083927154541,-614,6.0,1200.9519605636597
6.0,0.37682485580444336,1.0,0.03818964958190918,-731,5.0,1201.9416077136993
5.0,8.813384294509888,0.0,0.06815814971923828,-545,4.0,1202.5226366519928
6.0,5.3375091552734375,1.0,0.05810809135437012,-651,6.0,1200.9014115333557
6.0,7.802546739578247,1.0,0.05878281593322754,-749,5.0,1201.6074872016907
5.0,1.4899775981903076,0.0,0.05103421211242676,83,5.0,18.627634286880493
5.0,8.010054111480713,0.0,0.05938076972961426,-514,4.0,1200.0692858695984
5.0,4.280932664871216,0.0,0.06486725807189941,-561,4.0,1200.3872468471527
6.0,0.5728394985198975,1.0,0.04211878776550293,-638,5.0,1201.387841463089
6.0,5.092852592468262,1.0,0.05637550354003906,410,6.0,431.8811047077179
6.0,6.042104482650757,1.0,0.1535646915435791,-393,5.0,1200.8846740722656
5.0,5.0504536628723145,0.0,0.03930830955505371,-592,4.0,1201.5307574272156
5.0,6.7833592891693115,0.0,0.10282421112060547,85,5.0,25.820237159729004
6.0,5.2718095779418945,1.0,0.10306668281555176,586,6.0,1027.5344967842102
5.0,5.610812187194824,0.0,0.07711267471313477,279,5.0,153.0886960029602
5.0,5.884697437286377,0.0,0.05337333679199219,-505,4.0,1200.195651292801
6.0,6.012075662612915,1.0,0.07598686218261719,-574,5.0,1201.465163230896
5.0,3.067103385925293,0.0,0.0972907543182373,-535,4.0,1200.809977054596
